text_unit_ids,entity_ids,id
4f26e5bc6bd5e9442a1a4d314a03df37,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae']",4f26e5bc6bd5e9442a1a4d314a03df37
715db73f84b8a5a9940736074cb66002,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '6ea81acaf232485e94fff638e03336e1' 'd203efdbfb2f4b2a899abfb31cf72e82']",715db73f84b8a5a9940736074cb66002
74b9e62910bd230078c62bb08f4f4539,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae']",74b9e62910bd230078c62bb08f4f4539
a1838f9de5474cd63c332cdc1b221da5,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '6ea81acaf232485e94fff638e03336e1' '378fc7636eeb4aabbfd40995a6960c64'
 '7ffa3a064bce468082739c5a164df5a3']",a1838f9de5474cd63c332cdc1b221da5
b31989d3d895ae57672b9996ec1ee43f,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '0111777c4e9e4260ab2e5ddea7cbcf58' '785f7f32471c439e89601ab81c828d1d']",b31989d3d895ae57672b9996ec1ee43f
bb3cb72da8330639bfff06929672c3e3,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '1f1545308e9347af91fd03b94aadc21f' '6ea81acaf232485e94fff638e03336e1']",bb3cb72da8330639bfff06929672c3e3
c529191df0e8772450857333daea1000,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae']",c529191df0e8772450857333daea1000
c5d0eac05f45e3d69f8a70fee50bae95,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '1f1545308e9347af91fd03b94aadc21f' '6ea81acaf232485e94fff638e03336e1']",c5d0eac05f45e3d69f8a70fee50bae95
018ee9a00bbc1f766288a1d00e47abd2,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'bb0cff774a4440b289cc6f3b929fe13c'
 'ce55841ebfdd47008bab8c258f10372e' '6090e736374d45fd84f0e4610a314f8f']",018ee9a00bbc1f766288a1d00e47abd2
02b8248f10030d085d6e0e72fc9f5ffc,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '3d0dcbc8971b415ea18065edc4d8c8ef'
 '60c58026b2764b40adffca6eaa31d6d9' '09f18f81442d4d6d93a90f0fac683f9b'
 'e02be3e37ca0454883a4c1fd859c24bb']",02b8248f10030d085d6e0e72fc9f5ffc
03a78e6d89d1dfd1f291689da2203e0d,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'cec95bf17e7e4c939b56c9c6f402a29f'
 '7923d8521c744bd9aab131c1aea91ffd' '5bd156c87ec44e19ae6f8f62e6e50b9d']",03a78e6d89d1dfd1f291689da2203e0d
046b9075b99ef77e1f8fa7d1156334bc,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '7f65feab75424b53b24470d305ba331a'
 'fd9cb733b28d420cb5cef01e545a132c' '0fbcca3f17c649a08aea64b5a7d9ef36']",046b9075b99ef77e1f8fa7d1156334bc
04d47b645a730d691ba9cc245f58bc13,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '8870cf2b5df64d2cab5820f67e29b9f1'
 'cd130938a2844050be991af70baf5ee0' '43544b99c3b04b059546198a0ae6366d']",04d47b645a730d691ba9cc245f58bc13
06339417dd129043f8102316e372f97b,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '1943f245ee4243bdbfbd2fd619ae824a'
 '36084a9fab53433493f079e97e68bf65' 'eebcc7ec8e3e4df7aea83659bbdc2199']",06339417dd129043f8102316e372f97b
0784994e44ec90c109bfba4168172930,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '2f05fcce857e4a499ca4e89a3cefbcb3'
 'b3aeb7ae009a4f52ae3ae4586e32fe11']",0784994e44ec90c109bfba4168172930
0974e3980ac7fd39ff8d5b5b4ec931be,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'e69dc259edb944ea9ea41264b9fcfe59'
 '4b8aa4587c7344adac2cbfa69d5e40fa' '52701d941dfb45359693baae8f267056']",0974e3980ac7fd39ff8d5b5b4ec931be
0a3f862605cf8a485d799d0d07169d94,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '5c7ef01f46a94641bf1ae5cd25f8a538'
 '289616058bf4495887292003b27ba216']",0a3f862605cf8a485d799d0d07169d94
0a7547de4c019d0e5653423bf13ffca3,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '225105a7be14447cb03186bd40756059']",0a7547de4c019d0e5653423bf13ffca3
0aa243942da652d5a1747247f52dea02,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '1c109cfdc370463eb6d537e5b7b382fb'
 '482027a59f32484c9c44fd700615c1b6' 'de837ff3d626451282ff6ac77a82216d']",0aa243942da652d5a1747247f52dea02
0ab08c26efb0fb1e1fab5824767e0c19,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '8d141c0b80f74b79a05eed7fe161fe49'
 'ad1595a78935472999444c9330e7730e' '735d19aea0744b2295556841c5c4c3fd']",0ab08c26efb0fb1e1fab5824767e0c19
0b00a136b0de2902f5aa0ca66863707e,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '1ca41537c47c4752a17a44d1d7086d96'
 '92646910ee624bd7909fac2b5c0232e3' '05913bee89a94bca88449249e35ba74d'
 '57b8930790c34dcba4a32c6be703ed78']",0b00a136b0de2902f5aa0ca66863707e
0f9a5da33adb698ee3345a722dd6dbd4,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'e69dc259edb944ea9ea41264b9fcfe59'
 '5c13c7d61e6c4bfe839f21e7ad3530a7']",0f9a5da33adb698ee3345a722dd6dbd4
105b57c88dc624c85578b6500db3200e,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '3d6b216c14354332b1bf1927ba168986'
 '18b839da898e4026b81727d759d95c6a' '0f70db1e598d463fbbcdd1e288bd9490']",105b57c88dc624c85578b6500db3200e
106e9295bcfedcccf6687dc20ed91e0c,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '3d6b216c14354332b1bf1927ba168986'
 '1c109cfdc370463eb6d537e5b7b382fb' '1eb829d0ace042089f0746f78729696c'
 '015e7b58d1a14b44beab3bbc9f912c18']",106e9295bcfedcccf6687dc20ed91e0c
13bd16bd84d1d944ba4eda1cd1f97d81,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '3d0dcbc8971b415ea18065edc4d8c8ef'
 '68105770b523412388424d984e711917' '32ee140946e5461f9275db664dc541a5'
 'c160b9cb27d6408ba6ab20214a2f3f81' '23527cd679ff4d5a988d52e7cd056078']",13bd16bd84d1d944ba4eda1cd1f97d81
13c46de65b7e974b827b668b96bc054b,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'cbf232211e7d4eb6abdbe182f71c2cf0' '0ec262c2cfef4dd581f3655e5e496e31'
 '100c2fccd7f74d9281707082f062ba72']",13c46de65b7e974b827b668b96bc054b
1550b931aff3210da4e57eb07e7afd48,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'dddb831546354e088d29aebd154e3a31']",1550b931aff3210da4e57eb07e7afd48
1681ce4c90277fedf623f927c8f40b87,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'a671bf7fea2f4514b6e96ba99127fafd']",1681ce4c90277fedf623f927c8f40b87
17dff7d79189b2b01e7c3aa61ba924d9,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' '3d6b216c14354332b1bf1927ba168986'
 'd4602d4a27b34358baa86814a3836d68']",17dff7d79189b2b01e7c3aa61ba924d9
1850b7ad817b6b8ce6eb45d7acd606ff,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'b999ed77e19e4f85b7f1ae79af5c002a'
 'cbf232211e7d4eb6abdbe182f71c2cf0' 'c12b9ebd8b4e42b7896822a32e3fa6eb'
 '27505f6ade4b4e5f9316ffe9c34821f7']",1850b7ad817b6b8ce6eb45d7acd606ff
19481b31bad12e8d64f13ffe10364cda,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'bef16fb5fd7344cca5e295b13ef3e0cd'
 'b07a7f088364459098cd8511ff27a4c8' '9a6f414210e14841a5b0e661aedc898d'
 'db541b7260974db8bac94e953009f60e' 'f2ff8044718648e18acef16dd9a65436'
 '00d785e7d76b47ec81b508e768d40584']",19481b31bad12e8d64f13ffe10364cda
1a03dc612a3f20b5016da81e642dffc1,"['4119fd06010c494caa07f439b333f4c5' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '077d2820ae1845bcbb1803379a3d1eae' 'b999ed77e19e4f85b7f1ae79af5c002a'
 '48c0c4d72da74ff5bb926fa0c856d1a7' '4f3c97517f794ebfb49c4c6315f9cf23']",1a03dc612a3f20b5016da81e642dffc1
